TAG,CUT,NAME,COMMAND
WIN,1,VSCODE
WIN,2,IDEA
WIN,3,EDGE
WIN,4,TABBY
CS,E,EMEDITOR,Folder
C,SP,TABBY
AS,V,VSCODE,Markmap
CS,V,VSCODE,Markdwon
AS,O,EMEDITOR,Outline
A,Enter,EMEDITOR,settings
CA,D,163,截图
