TAG,U,RANK,INFO
svc,https://www.52pojie.cn/thread-1909552-1-1.html,1
svc,https://sspai.com/,1
svc,https://www.ghxi.com/,1
svc,https://lestore.lenovo.com/,1
svc,https://www.ahhhhfs.com/software/greasy-fork/,1
exp,https://coolshell.cn/
exp,https://www.ruanyifeng.com/blog/,
techPlat,https://www.infoq.cn/
techExp,https://www.ituring.com.cn/
,
exp,https://newzone.top/,
enter,https://www.znds.com/jc/#gotop,
entryLang,https://www.ted.com/,
entryLang,https://www.tjxz.cc/
entryV,https://www.edx.org/,
busSvc,https://www.aiasker.cn/dianshangdaohang,
entryB,https://www.bookstack.cn/
techCom,https://tech.taobao.org/open-source,
busJob,https://www.yuanjisong.com/job,
techCom,https://www.1point3acres.com/bbs/thread-960129-3-1.html,
techGh,https://www.github-zh.com/top-china,
techCourse,https://course.rs/into-rust.html
busJob,http://www.jiaoshizhaopin.net/                  wanxingjs,
busJob,http://www.chinasydw.org/      ,,
busJob,https://www.qcc.com/,,
busJob,http://losergogogo.com/   ,,
busJob,https://eleduck.com/,,
busJob,https://job.csdn.net/    ,,
busJob,https://www.nowcoder.com/recommend/campus  ,,
busJob,https://job.oschina.net/
techGh,https://github.com/Joyeah/tampermonkey_js,过滤
techSvc,https://github.com/cobaltdisco/Google-Chinese-Results-Blocklist,uBlacklist 
techCom,https://tech.uupt.com/
techExp,https://pegasuswang.readthedocs.io/zh/latest/golang/go语言编程%2f
techB,https://github.com/topics/books
techJava,https://github.com/javagrowing/JGrowing
techExp,https://me.yicode.tech/,,
techB,https://github.com/CyC2018/CS-Notes,,
techB,https://github.com/sorenduan/awesome-java-books,,
techB,https://github.com/allentofight/easy-cs,,
techGh,https://github.com/yanfeizhang/coder-kung-fu,linux,
techGh,https://ng-tech.icu/books-gallery/#resource,,
techGh,https://github.com/Exrick,"xmall,xbot"
techGh,https://github.com/Genymobile/scrcpy,手机投屏
svcB,https://www.giffox.com/
techCom,https://www.kanxue.com/  ,,
svc,https://tophub.today/,,
techV,https://www.imooc.com/,,
techExp,https://kingname.info/about ,,
svc,https://search.chongbuluo.com/,,
svcB,https://www.giffox.com/
techB,https://www.ituring.com.cn/  
